hostname,os,environment,country,node
SPESP384,Solaris,Production,Spain,384
STGER074,Solaris,Testing,Germany,74
LTIRL511,Linux,Testing,Ireland,511
SDITA720,Solaris,Development,Italy,720
SSITA754,Solaris,Staging,Italy,754
LTIRL678,Linux,Testing,Ireland,678
STGER581,Solaris,Testing,Germany,581
LPNOR664,Linux,Production,Norway,664
ASITA388,AIX,Staging,Italy,388
SDGER311,Solaris,Development,Germany,311
HTGER252,HP-UX,Testing,Germany,252
LSFRA699,Linux,Staging,France,699
APIRL779,AIX,Production,Ireland,779
SPNOR002,Solaris,Production,Norway,2
LDGER685,Linux,Development,Germany,685
SIIRL973,Solaris,Integration,Ireland,973
SDNOR190,Solaris,Development,Norway,190
LDGER834,Linux,Development,Germany,834
LPIRL578,Linux,Production,Ireland,578
SIESP473,Solaris,Integration,Spain,473
HDFRA868,HP-UX,Development,France,868
STGER367,Solaris,Testing,Germany,367
AIIRL877,AIX,Integration,Ireland,877
LPFRA488,Linux,Production,France,488
LSESP031,Linux,Staging,Spain,31
LSITA436,Linux,Staging,Italy,436
SDNOR918,Solaris,Development,Norway,918
LPIRL177,Linux,Production,Ireland,177
LIIRL232,Linux,Integration,Ireland,232
LSITA387,Linux,Staging,Italy,387
ASFRA959,AIX,Staging,France,959
SPGER574,Solaris,Production,Germany,574
LSFRA738,Linux,Staging,France,738
APIRL930,AIX,Production,Ireland,930
SPESP596,Solaris,Production,Spain,596
LSNOR420,Linux,Staging,Norway,420
SPIRL622,Solaris,Production,Ireland,622
LTITA665,Linux,Testing,Italy,665
LSFRA730,Linux,Staging,France,730
LTIRL440,Linux,Testing,Ireland,440
APIRL997,AIX,Production,Ireland,997
ATIRL556,AIX,Testing,Ireland,556
LTITA779,Linux,Testing,Italy,779
SPESP695,Solaris,Production,Spain,695
SPIRL867,Solaris,Production,Ireland,867
ADNOR146,AIX,Development,Norway,146
LPGER534,Linux,Production,Germany,534
ATIRL771,AIX,Testing,Ireland,771
ADESP438,AIX,Development,Spain,438
